web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615855188-1310","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 24, 2020","2,780.00","2,734.40"
"1615855188-1179","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 30, 2020","3,341.00","3,285.85"
"1615855188-1297","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 14, 2020","3,089.00","3,084.00"
"1615855188-1420","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 16, 2020","1,882.99","1,877.94"
"1615855188-1292","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 21, 2020","3,232.49","3,138.29"
"1615855188-1212","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 11, 2020","3,061.78","3,137.39"
"1615855188-1149","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 12, 2021","3,250.00","3,277.71"
"1615855188-1228","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 20, 2020","3,222.28","3,217.01"
"1615855188-1397","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 20, 2020","2,173.07","2,153.10"
"1615855188-1138","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 02, 2021","3,143.47","3,094.53"
"1615855188-1416","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 23, 2020","1,885.11","1,884.58"
"1615855188-1321","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 09, 2020","2,529.44","2,600.86"
"1615855188-1324","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 04, 2020","2,477.43","2,460.60"
"1615855188-1336","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 18, 2020","2,404.35","2,426.26"
"1615855188-1200","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 30, 2020","3,208.48","3,168.04"
"1615855188-1139","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 01, 2021","3,127.89","3,146.14"
"1615855188-1430","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 02, 2020","1,875.00","1,898.01"
"1615855188-1278","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 10, 2020","3,170.31","3,148.16"
"1615855188-1165","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 21, 2021","3,293.00","3,306.99"
"1615855188-1223","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 27, 2020","3,224.94","3,286.33"
"1615855188-1174","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 07, 2021","3,157.00","3,162.16"
"1615855188-1396","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 21, 2020","2,142.15","2,095.97"
"1615855188-1350","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 28, 2020","2,372.10","2,314.08"
"1615855188-1225","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 23, 2020","3,191.00","3,204.40"
"1615855188-1355","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 21, 2020","2,416.61","2,328.12"
"1615855188-1134","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 08, 2021","3,015.00","2,951.95"
"1615855188-1422","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 14, 2020","1,885.88","1,869.44"
"1615855188-1193","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 09, 2020","3,167.89","3,104.20"
"1615855188-1237","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 07, 2020","3,135.00","3,195.69"
"1615855188-1370","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 30, 2020","1,922.83","1,963.95"
"1615855188-1359","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 15, 2020","2,257.68","2,307.68"
"1615855188-1287","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 28, 2020","3,054.27","3,000.33"
"1615855188-1406","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 06, 2020","2,041.02","2,050.23"
"1615855188-1173","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 08, 2021","3,180.00","3,182.70"
"1615855188-1352","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 24, 2020","2,417.00","2,410.22"
"1615855188-1231","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 15, 2020","3,292.01","3,338.65"
